env_name,seed,problem,n_candidates,method,selected_index,uses_truth,validation_gate_method,selected_true_return,regret_to_candidate_oracle,candidate_oracle_return,regret_to_full_pool_oracle,full_pool_oracle_return,selected_pred_mean,selected_pred_std,sample_over_mean,selected_action_ood_mass,selected_is_cem,calibration_beta
InvertedPendulum-v5,0,2,8,oracle,0,True,,11.0,0.0,11.0,12.0,23.0,-39559.37663626483,5494.003149871524,3352.2020020449418,0.15,0.0,4.0
InvertedPendulum-v5,0,2,8,mean_bon,4,False,,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,posterior_sample_bon,4,False,,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,thompson_bon,4,False,,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,ucb_bon,4,False,,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,pessimistic_bon,4,False,,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,quantile_bon,4,False,,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,calibrated_pessimistic_bon,4,False,,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,validation_gated_bon,4,False,calibrated_pessimistic_bon,10.0,1.0,11.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,8,cem_mean_mpc,-1,False,,2.0,9.0,11.0,21.0,23.0,-2819.580573379723,1566.6725935053225,-210.67151246679396,0.475,1.0,4.0
InvertedPendulum-v5,0,2,32,random,6,False,,4.0,9.0,13.0,19.0,23.0,-115054.6155671491,3580.762071609828,6578.794724306514,0.0,0.0,4.0
InvertedPendulum-v5,0,2,32,oracle,14,True,,13.0,0.0,13.0,10.0,23.0,-16486.716816306605,2299.376593630891,3222.233704290844,0.225,0.0,4.0
InvertedPendulum-v5,0,2,32,mean_bon,4,False,,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,posterior_sample_bon,4,False,,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,thompson_bon,4,False,,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,ucb_bon,4,False,,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,pessimistic_bon,4,False,,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,quantile_bon,4,False,,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,calibrated_pessimistic_bon,4,False,,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,validation_gated_bon,4,False,calibrated_pessimistic_bon,10.0,3.0,13.0,13.0,23.0,-6302.302446623826,811.9481827478113,1157.859700304759,0.3,0.0,4.0
InvertedPendulum-v5,0,2,32,cem_mean_mpc,-1,False,,2.0,11.0,13.0,21.0,23.0,-2819.580573379723,1566.6725935053225,-2907.7810083504514,0.475,1.0,4.0
InvertedPendulum-v5,0,2,96,random,93,False,,11.0,12.0,23.0,12.0,23.0,-45143.34193894199,3014.4702073768144,6605.263740057053,0.125,0.0,4.0
InvertedPendulum-v5,0,2,96,oracle,90,True,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,mean_bon,90,False,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,posterior_sample_bon,90,False,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,thompson_bon,90,False,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,ucb_bon,90,False,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,pessimistic_bon,90,False,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,quantile_bon,90,False,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,calibrated_pessimistic_bon,90,False,,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,validation_gated_bon,90,False,calibrated_pessimistic_bon,23.0,0.0,23.0,0.0,23.0,-646.4426940418023,120.65572427211846,-66.16691855747524,0.0,0.0,4.0
InvertedPendulum-v5,0,2,96,cem_mean_mpc,-1,False,,2.0,21.0,23.0,21.0,23.0,-2819.580573379723,1566.6725935053225,-1124.7895906516014,0.475,1.0,4.0
InvertedPendulum-v5,0,3,8,random,3,False,,5.0,2.0,7.0,13.0,18.0,-83959.41478993063,4165.626024750265,-5024.394222679868,0.45,0.0,4.0
InvertedPendulum-v5,0,3,8,oracle,1,True,,7.0,0.0,7.0,11.0,18.0,-83648.7220354816,3257.2875611796458,1468.4096264109685,0.0,0.0,4.0
InvertedPendulum-v5,0,3,8,mean_bon,0,False,,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,8,posterior_sample_bon,0,False,,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,8,thompson_bon,0,False,,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,8,ucb_bon,0,False,,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,8,pessimistic_bon,0,False,,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
